n,filename,camera,period,heuristic,golden
45,imgKFB_230606_0500.jpg,KFB,night,not_inside,not_inside
46,imgKFB_230918_0400.jpg,KFB,night,inside_cloud,not_inside
47,imgKFB_230421_0100.jpg,KFB,night,inside_cloud,inside_cloud
48,imgKFB_231013_1200.jpg,KFB,day,not_inside,not_inside
49,imgKFB_230914_0700.jpg,KFB,day,inside_cloud,inside_cloud
50,imgKFB_230508_0900.jpg,KFB,day,not_inside,inside_cloud
51,imgKFB_230105_1200.jpg,KFB,day,not_inside,not_inside
52,imgKFB_230322_2000.jpg,KFB,night,not_inside,not_inside
53,imgKFB_230212_1400.jpg,KFB,day,inside_cloud,inside_cloud
54,imgKFB_230720_0100.jpg,KFB,night,inside_cloud,inside_cloud
55,imgKFB_230930_1900.jpg,KFB,night,not_inside,not_inside
56,imgKFB_231108_1600.jpg,KFB,day,not_inside,not_inside
57,imgKFB_230427_2000.jpg,KFB,night,not_inside,not_inside
58,imgKFB_230310_0500.jpg,KFB,night,inside_cloud,not_inside
59,imgKFB_230930_0300.jpg,KFB,night,not_inside,not_inside
60,imgKFB_230326_1900.jpg,KFB,night,inside_cloud,inside_cloud
61,imgKFB_231019_1300.jpg,KFB,day,inside_cloud,inside_cloud
62,imgKFB_230402_0700.jpg,KFB,day,inside_cloud,inside_cloud
63,imgKFB_230909_1800.jpg,KFB,day,inside_cloud,inside_cloud
64,imgKFB_231111_0800.jpg,KFB,day,inside_cloud,inside_cloud
65,imgKFB_230212_2300.jpg,KFB,night,not_inside,inside_cloud
66,imgKFB_230211_0600.jpg,KFB,night,inside_cloud,inside_cloud
67,imgKFB_230114_0500.jpg,KFB,night,not_inside,inside_cloud
68,imgKFB_230206_0200.jpg,KFB,night,inside_cloud,inside_cloud
69,imgKFB_230910_2300.jpg,KFB,night,inside_cloud,not_inside
70,imgKFB_230525_2200.jpg,KFB,night,inside_cloud,not_inside
71,imgKFB_230819_0700.jpg,KFB,day,not_inside,not_inside
72,imgKFB_231018_1900.jpg,KFB,night,not_inside,not_inside
73,imgKFB_230407_0100.jpg,KFB,night,inside_cloud,not_inside
74,imgKFB_230918_0500.jpg,KFB,night,inside_cloud,inside_cloud
75,imgKFB_230425_1200.jpg,KFB,day,not_inside,inside_cloud
76,imgKFB_230711_0800.jpg,KFB,day,not_inside,not_inside
77,imgKFB_231025_2000.jpg,KFB,night,not_inside,not_inside
78,imgKFB_230602_2000.jpg,KFB,night,not_inside,not_inside
79,imgKFB_231019_0400.jpg,KFB,night,inside_cloud,inside_cloud
80,imgKFB_231209_2200.jpg,KFB,night,not_inside,not_inside
81,imgKFB_230212_2100.jpg,KFB,night,not_inside,inside_cloud
82,imgKFB_230321_0200.jpg,KFB,night,inside_cloud,not_inside
83,imgKFB_230212_2200.jpg,KFB,night,not_inside,inside_cloud
84,imgKFB_230428_0800.jpg,KFB,day,inside_cloud,inside_cloud
85,imgKFB_230902_0200.jpg,KFB,night,inside_cloud,inside_cloud
86,imgKFB_230421_0200.jpg,KFB,night,inside_cloud,inside_cloud
87,imgKFB_230513_1700.jpg,KFB,day,not_inside,inside_cloud
88,imgKFB_230907_1300.jpg,KFB,day,inside_cloud,not_inside
89,imgKFB_230914_1600.jpg,KFB,day,not_inside,not_inside
90,imgKFB_230920_2100.jpg,KFB,night,not_inside,not_inside
91,imgKFB_230703_0800.jpg,KFB,day,not_inside,not_inside
92,imgKFB_230316_0100.jpg,KFB,night,inside_cloud,not_inside
93,imgKFB_230117_0500.jpg,KFB,night,inside_cloud,not_inside
94,imgKFB_231101_1300.jpg,KFB,day,not_inside,not_inside
95,imgKFB_230421_0800.jpg,KFB,day,inside_cloud,inside_cloud
96,imgKFB_230331_0400.jpg,KFB,night,inside_cloud,inside_cloud
97,imgKFB_230112_1100.jpg,KFB,day,inside_cloud,inside_cloud
98,imgKFB_230318_1000.jpg,KFB,day,inside_cloud,not_inside
99,imgKFB_230115_0500.jpg,KFB,night,inside_cloud,inside_cloud
100,imgKFB_231005_0000.jpg,KFB,night,not_inside,not_inside
101,imgKFB_230331_1600.jpg,KFB,day,inside_cloud,inside_cloud
102,imgKFB_230911_1800.jpg,KFB,day,inside_cloud,inside_cloud
103,imgKFB_230316_1400.jpg,KFB,day,not_inside,not_inside
104,imgKFB_230609_0100.jpg,KFB,night,not_inside,not_inside
105,imgKFB_230913_0400.jpg,KFB,night,inside_cloud,inside_cloud
106,imgKFB_230828_1100.jpg,KFB,day,not_inside,not_inside
107,imgKFB_230321_0600.jpg,KFB,night,not_inside,inside_cloud
108,imgKFB_230414_0700.jpg,KFB,day,inside_cloud,inside_cloud
109,imgKFB_230428_1400.jpg,KFB,day,not_inside,not_inside
110,imgKFB_230213_1000.jpg,KFB,day,inside_cloud,inside_cloud
111,imgKFB_230320_0600.jpg,KFB,night,not_inside,inside_cloud
